"X" "Y" "Z"
"1" 11.804339 19.343941 27.73171
"2" 11.739777 19.211714 27.37594
"3" 11.804339 19.336164 27.775166
"4" 11.917326 19.421721 28.139099
"5" 11.906563 19.631725 28.72028
"6" 11.922708 19.47617 28.36994
"7" 11.895802 19.390608 28.272173
"8" 12.05183 19.639505 28.598072
"9" 12.089493 19.561728 28.489443
"10" 12.267044 19.802841 28.872374
"11" 12.218621 19.818399 29.168406
"12" 12.213242 19.515053 28.7393
"13" 11.911944 19.196159 27.815901
"14" 11.637549 18.760593 27.047316
"15" 11.793576 18.830589 27.096205
"16" 11.422339 18.441689 26.409084
"17" 11.449239 18.192791 25.898497
"18" 11.379296 18.25502 26.03973
"19" 11.11028 18.099461 25.773569
"20" 11.26093 18.115019 25.898497
"21" 11.126424 17.943895 25.575315
"22" 11.271689 18.59725 26.487843
"23" 11.347014 18.760593 26.686096
"24" 11.29321 18.682808 26.305885
"25" 11.190986 18.900597 26.887075
"26" 11.142563 18.900597 26.944109
"27" 11.271689 19.071709 27.411234
"28" 11.147944 18.675035 26.498709
"29" 10.954253 18.496136 26.319456
"30" 10.86817 18.16946 25.450384
"31" 10.717521 17.858335 25.455816
"32" 10.852031 18.076128 25.358042
"33" 10.776705 17.842783 24.624754
"34" 10.319379 17.228319 23.899616
"35" 10.539971 17.368326 24.442793
"36" 10.830506 17.827223 25.455816
"37" 10.733663 17.656113 25.295586
"38" 10.599156 17.298321 24.469957
"39" 10.593777 17.274988 24.388483
"40" 10.798225 17.687222 24.918074
"41" 10.776705 17.562778 25.040287
"42" 10.771326 17.656113 25.514502
"43" 10.792844 17.89723 25.814278
"44" 10.733663 17.788342 25.806107
"45" 10.701382 17.772781 26.094994
"46" 11.137186 18.317242 27.007973
"47" 11.164083 18.472801 27.116995
"48" 11.239409 18.659472 27.547586
"49" 11.099521 18.519468 27.468555
"50" 11.22865 18.465023 27.438574
"51" 11.395436 18.465023 27.152414
"52" 11.384674 18.32502 27.065203
"53" 11.395436 18.449467 27.416769
"54" 11.239409 18.348354 27.351368
"55" 11.142563 18.122791 27.016151
"56" 10.91659 18.146124 27.277782
"57" 10.895069 17.827223 26.46291
"58" 10.846649 17.873894 26.479265
"59" 11.029576 18.153902 26.81447
"60" 10.991916 17.89723 26.10317
"61" 10.932731 17.772781 25.658934
"62" 11.164083 18.052788 26.400232
"63" 11.147944 18.2628 26.926214
"64" 11.094142 18.52725 27.389521
"65" 11.244788 18.293905 27.266874
"66" 11.368537 18.472801 27.302307
"67" 11.277071 18.496136 27.732908
"68" 11.234028 18.589476 27.822849
"69" 11.207129 18.791698 27.950947
"70" 11.185606 18.783922 27.773798
"71" 11.196366 18.729477 27.493082
"72" 11.147944 18.752813 27.648436
"73" 11.239409 18.923927 27.542141
"74" 11.180226 18.939487 27.724739
"75" 11.217888 18.807259 27.572121
"76" 11.137186 18.822815 27.430395
"77" 11.164083 18.612804 26.937124
"78" 11.325494 18.885042 27.155136
"79" 11.357778 19.017263 27.116995
"80" 11.390058 18.95504 26.926214
"81" 11.384674 18.916151 27.149685
"82" 11.508424 19.242825 27.468555
"83" 11.438478 19.390608 27.621168
"84" 11.390058 19.413942 27.261431
"85" 11.22865 19.266157 27.364998
"86" 11.271689 19.281715 27.525791
"87" 11.347014 19.336164 27.1824
"88" 11.513802 19.289494 27.054302
"89" 11.513802 19.242825 26.72727
"90" 11.589129 19.250605 26.686386
"91" 11.648313 19.421721 27.016151
"92" 11.841999 19.406168 27.247807
"93" 11.599886 19.095045 26.585554
"94" 11.481521 18.853924 26.356623
"95" 11.465383 18.667252 25.841545
"96" 11.180226 18.24724 24.884951
"97" 11.212505 18.309462 24.754137
